0	1441	1.0
1	1777	1.0
2	64	1.0
2	1430	1.0
2	519	2.0
2	908	4.0
2	335	2.0
2	274	1.0
2	662	1.0
2	408	6.0
2	1692	2.0
2	150	2.0
2	224	1.0
2	1766	1.0
2	359	1.0
2	1768	1.0
2	874	1.0
2	45	1.0
2	622	2.0
2	880	1.0
2	1522	3.0
2	371	1.0
2	1147	1.0
2	892	3.0
2	1406	1.0
3	608	2.0
3	640	16.0
3	99	4.0
3	1745	3.0
3	869	2.0
3	1446	1.0
3	1383	1.0
3	428	4.0
3	554	2.0
3	1612	1.0
3	272	11.0
3	337	2.0
3	1330	1.0
3	1558	3.0
3	471	1.0
3	1561	3.0
3	890	2.0
3	1761	1.0
3	1116	2.0
3	1757	2.0
3	1182	1.0
4	1382	1.0
5	825	2.0
5	365	2.0
6	172	1.0
6	1793	1.0
6	43	7.0
6	1671	3.0
6	492	1.0
6	1607	4.0
6	1675	1.0
6	908	1.0
6	1039	1.0
6	272	1.0
6	787	2.0
6	1326	1.0
6	1784	2.0
6	1132	3.0
6	921	2.0
6	670	1.0
6	1183	1.0
6	544	2.0
6	34	1.0
6	1699	3.0
6	1122	1.0
6	423	1.0
6	1192	5.0
6	937	4.0
6	71	4.0
6	1580	1.0
6	1582	1.0
6	815	2.0
6	1584	1.0
6	1587	11.0
6	1203	1.0
6	54	1.0
6	1848	1.0
6	1596	1.0
6	1469	2.0
6	1726	5.0
6	1728	27.0
6	964	1.0
6	710	1.0
6	1735	1.0
6	930	6.0
6	312	2.0
6	1750	4.0
6	474	9.0
6	1629	1.0
6	866	2.0
6	1893	1.0
6	998	3.0
6	359	2.0
6	874	1.0
6	364	1.0
6	1597	1.0
6	1400	1.0
6	1147	1.0
6	125	1.0
6	1301	1.0
7	1304	2.0
7	1273	1.0
7	1010	1.0
7	1726	1.0
8	908	1.0
8	1882	1.0
8	780	1.0
8	1326	2.0
9	1561	2.0
9	1010	1.0
10	276	4.0
10	1333	1.0
10	38	2.0
10	1882	9.0
10	1035	2.0
10	492	1.0
10	255	2.0
11	1726	1.0
12	1521	1.0
12	1634	1.0
12	1331	1.0
12	360	1.0
12	315	2.0
12	1026	1.0
12	414	2.0
12	159	1.0
13	1586	1.0
13	1134	4.0
13	214	2.0
13	1831	2.0
14	1728	1.0
14	1027	1.0
14	1862	3.0
14	1735	2.0
14	428	1.0
14	337	1.0
14	1507	5.0
14	150	2.0
14	921	2.0
14	1882	1.0
14	1371	1.0
14	801	1.0
14	1627	2.0
14	518	1.0
14	827	4.0
14	872	1.0
14	618	1.0
14	940	1.0
14	1326	2.0
14	1072	4.0
14	1073	1.0
